Proposta,Ano da proposta,IBGE,UF,Município,Nome da unidade,Componente,Porte,Situação no SISMOB,Data do repasse,Execução física (%) SISMOB,Data prevista de conclusão SISMOB,Dias sem monitoramento SISMOB,Data do último contato equipe PAC,Situação equipe PAC,Prioridade de contato,Ações,Quem fez o contato?,Data do contato,Execução informada pelo ente (%),Data/Previsão de conclusão informada pelo ente,Data/Previsão de inauguração informada pelo ente,Observações e problemas
11371082000125003,2025,260410,PE,Caruaru,Ubs Luiz Gonzaga,Unidade Básica de Saúde,I,Em início de execução,4/8/2026,0,,5,,Em início de execução,Baixa,,,,,,,
07622498000125006,2025,260415,PE,Casinhas,Ubs Junco,Unidade Básica de Saúde,I,Em início de execução,4/6/2026,3,6/30/2027,53,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
08247860000124002,2024,260420,PE,Catende,Posto de Saude de Canaa,Unidade Básica de Saúde,III,Em início de execução,6/12/2025,15,12/30/2026,20,,Em início de execução,Alta,,,,,,,
08247860000124001,2024,260420,PE,Catende,Posto de Saude de L Grande I,Unidade Básica de Saúde,I,Em início de execução,6/9/2025,15,12/30/2026,20,,Em início de execução,Alta,,,,,,,
08625167000124001,2024,260450,PE,Chã Grande,Usb Ubano I,Unidade Básica de Saúde,I,Em início de execução,5/23/2025,53,9/30/2026,108,,Em início de execução,Alta,"• Pedir superação de etapa 'Início de execução'
• Atualizar SISMOB 1 vez por mês",,,,,,
08625167000124002,2024,260450,PE,Chã Grande,Ubs Vila Santa Luzia,Unidade Básica de Saúde,I,Em início de execução,5/23/2025,54,5/30/2026,61,6/25/2026,"Em execução, conclusão atrasada",Alta,"• Pedir superação de etapa 'Início de execução'
• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
08625167000125001,2025,260450,PE,Chã Grande,Psf Urbano Iii,Unidade Básica de Saúde,I,Em início de execução,4/6/2026,0,,45,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
11366609000124005,2024,260460,PE,Condado,Ubs Novo Tempo,Unidade Básica de Saúde,II,Em execução e conclusão,6/5/2025,40,4/30/2026,17,6/26/2026,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
",,,,,,
10280122000124001,2024,260470,PE,Correntes,Ubs Primavera,Unidade Básica de Saúde,I,Em execução e conclusão,2/3/2026,30,2/12/2027,6,,Em execução e conclusão,Média,,,,,,,
10280122000124002,2024,260470,PE,Correntes,Ubs Giselda Cesar,Unidade Básica de Saúde,I,Em execução e conclusão,8/11/2025,55,11/27/2026,6,,Em execução e conclusão,Alta,,,,,,,
10280122000125004,2025,260470,PE,Correntes,Centro de Apoio Psicosocial de Correntes,Centro de Atenção Psicossocial,I,Em início de execução,4/27/2026,1,4/30/2027,31,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
10373148000125002,2025,260480,PE,Cortês,Usf Maria de Lourdes Soares Borba Nova Cortes,Unidade Básica de Saúde,I,Em início de execução,4/24/2026,0,,20,,Em início de execução,Baixa,,,,,,,
11319452000125003,2025,260490,PE,Cumaru,Ubs Serra do Umari,Unidade Básica de Saúde,I,Obra paralisada,2/24/2026,4,12/31/2026,18,,Obra paralisada,Baixa,,,,,,,
10298546000124001,2024,260510,PE,Custódia,Ubs - Nossa Senhora ,Unidade Básica de Saúde,I,Em execução e conclusão,6/20/2025,35,12/31/2026,74,,Em execução e conclusão,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
10291311000125004,2025,260520,PE,Escada,Ubs 218,Unidade Básica de Saúde,II,Em início de execução,7/3/2026,0,,55,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
09218925000124001,2024,260530,PE,Exu,Unidade de Saude da Familia Etelvina Justino da Silva,Unidade Básica de Saúde,I,Em início de execução,5/2/2025,0,,223,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
09218925000125003,2025,260530,PE,Exu,Unidade de Saúde da Familia do Centro Ii,Unidade Básica de Saúde,I,Em início de execução,2/24/2026,0,,24,,Em início de execução,Baixa,,,,,,,
09102679000124001,2024,260550,PE,Ferreiros,Ubs - Substituir Psf Ii - Helano Alfredo,Unidade Básica de Saúde,I,Em início de execução,6/5/2025,61,5/31/2026,10,7/3/2026,"Em execução, conclusão atrasada",Alta,"• Pedir superação de etapa 'Início de execução'
• Atualizar data de conclusão
",,,,,,
10392023000125001,2025,260560,PE,Flores,Fátima Ii,Unidade Básica de Saúde,II,Em início de execução,12/11/2025,39,12/31/2026,12,,Em início de execução,Média,"• Pedir superação de etapa 'Início de execução'
",,,,,,
10392023000125002,2025,260560,PE,Flores,Caps I,Centro de Atenção Psicossocial,I,Em início de execução,3/5/2026,3,12/31/2026,6,,Em início de execução,Baixa,,,,,,,
10965708000124003,2024,260570,PE,Floresta,Ubs Santa Rosa,Unidade Básica de Saúde,I,Em execução e conclusão,5/2/2025,90,8/30/2026,13,5/26/2026,Em execução e conclusão,Alta,"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
",,,,,,
